Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
POLI 294-01,Spinoza's Eco-Society,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Kiarina Kordela,Avail./Max.: 25 / 25,"Spinoza (1632-1677) has been called the “savage anomaly” of the Enlightenment because his philosophy enables an alternative or ‘hidden’ modernity based on the interdependence of beings rather than their hierarchy. Ever more political theorists, environmentalists, and ecologists are turning to Spinoza’s vision of a nonhierarchical union of nature and society that rejects anthropocentrism as the promise for a more equitable and sustainable life. In this course we shall focus on the foundation of Spinoza’s unconventional thesis: his intertwined conceptions of the human being as part of nature—as opposed to the prevailing notion of the human as an autonomous “imperium” in, yet above, nature—and of society as a continuation of nature—as opposed to the dominant theories of the “social contract” that ground society on its break with, or repression of, nature (Grotius, Hobbes, Locke, Rousseau, Kant). We shall examine Spinoza’s entailed radical revision in understanding both the “political” and the “environment.” Beyond Spinoza’s Ethics and his Theologico-Political and Political treatises, we shall read major commentators both on Spinoza’s ethical and political theory—e.g., Louis Althusser, Étienne Balibar, Edwin Curley, Gilles Deleuze, Michael Hardt, Pierre Macherey, Warren Montag, Antonio Negri—and on his role in environmental ethics and Deep Ecology—e.g., Bill Devall, Leslie Le Grange, K.L.F. Houle, Gal Kober, Genevieve Lloyd, Beth Lord, Arne Naess, Georg Sessions, Oli Stephano, Margaret Dauler Wilson.  Core course toward the Critical Theory concentration; all readings and class taught in English; no pre-knowledge required.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=294&section-1=01,*Cross-listed with ENVI 294-04 and GERM 294-01*
POLI 322-01,Advanced International Theory,Days: M W F,Time: 03:30 pm-04:30 pm,Room:,Instructor: David Blaney,Avail./Max.: 20 / 20,"This course is designed to introduce students to the study of international relations theory as an academic discipline. It is intended to prepare students for graduate work in the field, but should be appropriate for those merely seeking to satisfy an interest in international relations theory. The course is intended primarily for advanced political science majors and non-majors in cognate fields who have significant experience in the discipline. Prerequisite(s): Sophomore-standing or permission of instructor.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=322&section-1=01,
POLI 337-01,Energy Justice,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: STAFF,Avail./Max.: 18 / 18,"Energy justice builds on the concepts of environmental and climate justice, with a focus on the visible and invisible infrastructures that produce, deliver, maintain and transform our economies and societies.  Topics will include pipelines (Standing Rock), waste disposal (Yucca Mountain nuclear storage), and issues around the fracking (Bakken). The course will also focus on citizen science as a tool for revealing injustice and promoting justice, such as the work of the Public Laboratory for Open Technology and Science, a non-profit that develops open source, Do It Yourself tools for community based environmental analysis. Students will develop an independent major research project over the semester. This course can substitute for POLI 335. Prerequisite(s): POLI 215",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=337&section-1=01,"*Cross-listed with ENVI 337-01; ACTC students eligible to add the course at the start of the semester only, with permission of instructor*"
POLI 400-01,Senior Research Seminar,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Julie Dolan,Avail./Max.: 16 / 16,"The goal of the Senior Research Seminar (Capstone) is to launch students on a culminating academic experience organized around the supervised independent study of a political science topic of particular interest and relevance. The Seminar is premised on the assumption that students will have a working familiarity with the foundational knowledge in the sub-field(s) relevant to their reserach project, a mastery of the paractical skills introduced in foundation courses and further developed in intermediate courses, and a willingness to engage actively in a rigorous, sustained inquiry into an important topic. In each section of the seminar, a faculty member will coach students through the process of defining a significant and important political science research question, developing a thesis, designing an appropriate research program and writing a 25-35 page original capstone.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=400&section-1=01,
POLI 400-02,Senior Research Seminar,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Patrick Schmidt,Avail./Max.: 16 / 16,"The goal of the Senior Research Seminar (Capstone) is to launch students on a culminating academic experience organized around the supervised independent study of a political science topic of particular interest and relevance. The Seminar is premised on the assumption that students will have a working familiarity with the foundational knowledge in the sub-field(s) relevant to their reserach project, a mastery of the paractical skills introduced in foundation courses and further developed in intermediate courses, and a willingness to engage actively in a rigorous, sustained inquiry into an important topic. In each section of the seminar, a faculty member will coach students through the process of defining a significant and important political science research question, developing a thesis, designing an appropriate research program and writing a 25-35 page original capstone.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=400&section-1=02,
POLI 400-03,Senior Research Seminar,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Wendy Weber,Avail./Max.: 16 / 16,"The goal of the Senior Research Seminar (Capstone) is to launch students on a culminating academic experience organized around the supervised independent study of a political science topic of particular interest and relevance. The Seminar is premised on the assumption that students will have a working familiarity with the foundational knowledge in the sub-field(s) relevant to their reserach project, a mastery of the paractical skills introduced in foundation courses and further developed in intermediate courses, and a willingness to engage actively in a rigorous, sustained inquiry into an important topic. In each section of the seminar, a faculty member will coach students through the process of defining a significant and important political science research question, developing a thesis, designing an appropriate research program and writing a 25-35 page original capstone.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=400&section-1=03,
POLI 404-01,Honors Colloquium,Days: M W,Time: 12:00 pm-01:00 pm,Room:,Instructor: Paul Dosh,Avail./Max.: 20 / 20,A workshop for students pursing honors projects in the political science department. S/N grading.,[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=404&section-1=01,*2 credits; S/N grading only*
PORT 111-01,Accelerated Beginning Portuguese,Days: M W F,Time: 03:30 pm-04:30 pm,Room:,Instructor: J. Ernesto Ortiz Diaz,Avail./Max.: 15 / 15,"Intensive instruction in speaking, understanding, reading and writing Portuguese. Brazilian usage emphasized. Successful completion with a minimum grade of C- allows enrollment in the second level Portuguese course, PORT 331. Three class hours per week plus two hours of tutorial.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PORT&course-1=111&section-1=01,*First day attendance required*
PORT 111-02,Accelerated Beginning Portuguese,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Fernanda Bartolomei-Merlin,Avail./Max.: 15 / 15,"Intensive instruction in speaking, understanding, reading and writing Portuguese. Brazilian usage emphasized. Successful completion with a minimum grade of C- allows enrollment in the second level Portuguese course, PORT 331. Three class hours per week plus two hours of tutorial.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PORT&course-1=111&section-1=02,*First day attendance required*
PORT 331-01,Journeys through Brazil: Oral and Written Expression,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: J. Ernesto Ortiz Diaz,Avail./Max.: 15 / 15,"Primarily designed to improve oral communication and to strengthen students' written proficiency and their awareness of grammar intricacies in Portuguese. In relation to writing, it serves as a bridge to upper-level courses. Conversations and compositions are based on the civilization and cultures of Brazil, which despite its continental size and being among the largest world economies remains a mystery to many. This course explores the socio-historical, political and cultural trajectory Brazil has undertaken while, at the same time, reflecting on how ideas such as nation, identity, race, ethnicity, and class have transformed the face of the country. A wide array of texts and materials -literature, music, painting, sculpture, architecture, dance, and cinema- is used to gain a broad and critical understanding of the Brazilian universe. It involves extensive reading appropriate to the level. Prerequisite(s): PORT 221Â or consent of the instructor.",['Internationalism'],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PORT&course-1=331&section-1=01,*First day attendance required; cross-listed with LATI 331-01*
